HST_1,HST_2,HST_3,HST_4,HST_5,HST_6,HST_7,HST_8,HST_9,HST_10,HST_11,HST_12,HST_13,HST_14,HST_15,HST_16,HST_17,HST_18,HST_19,HST_20,HST_21,HST_22,HST_23,HST_24,HMG_25,HMG_26,HMG_27,HMG_28,HMG_29,HMG_30,HMG_31,HMG_32,HMG_33,HMG_34,HMG_35,HMG_36,HMG_37,HMG_38,HMG_39,HMG_40,HMG_41,HMG_42,HMG_43,HMG_44,HMG_45,HMG_46,HMG_47,HMG_48,AVG_49,AVG_50,AVG_51,AVG_52,AVG_53,AVG_54,AVG_55,AVG_56,AVG_57,AVG_58,AVG_59,AVG_60,AVG_61,AVG_62,AVG_63,AVG_64,AVG_65,AVG_66,AVG_67,AVG_68,AVG_69,AVG_70,AVG_71,AVG_72,STD_73,STD_74,STD_75,STD_76,STD_77,STD_78,STD_79,STD_80,STD_81,STD_82,STD_83,STD_84,STD_85,STD_86,STD_87,STD_88,STD_89,STD_90,STD_91,STD_92,STD_93,STD_94,STD_95,STD_96,label,
95,7,6.06315789473684,0,0.0522781,1.89014084507042,0.336842105263158,0.378947368421053,0.484210526315789,0.547368421052632,0.32,0.18,0.092,0.052,0.0315789473684211,0.347368421052632,0.452631578947368,0.515789473684211,0.03,0.165,0.086,0.049,4.51769310217348,4.47640866870474,95,7,6.06315789473684,0,0.0522781,1.89014084507042,0.336842105263158,0.378947368421053,0.484210526315789,0.547368421052632,0.32,0.18,0.092,0.052,0.0315789473684211,0.347368421052632,0.452631578947368,0.515789473684211,0.03,0.165,0.086,0.049,4.51769310217348,4.47640866870474,897.598997493734,12828.4106255614,6.45363408521303,1.56113340996602,5.59727319523984,0.168817574583844,0.00569624551615502,3.13293794321838e-06,0.0963628120300752,0.000120480303027359,2.79534291304824,0.042754357364859,0.117883996435226,0.00153005440407133,0.157141404667452,0.00225276333397561,0.242843463633546,0.00410147905290852,0.312368489211142,0.00556663980070284,1.04042606516291,0.104027136764215,0.694147869674185,0.0388492738739078,0.430501253132832,0.0122612424796329,0.277684210526316,0.00450589025194555,0.0388937620539353,0.000297197434960284,0.118240421188243,0.00173819336159687,0.181384426377176,0.00291692333115301,0.251593980838237,0.00429786473240408,0.348220551378446,0.0273539764197461,0.52406015037594,0.0332310089132603,0.322355889724311,0.00917506131242891,0.223822055137845,0.00364614628048826,6.62386031186531,0.0392382391200456,6.11462900432298,0.108081121457147,spam,
140,5,4.97142857142857,0.185714285714286,0.104238,2.0641975308642,0.257142857142857,0.385714285714286,0.492857142857143,0.542857142857143,0.36,0.27,0.138,0.076,0.0714285714285714,0.121428571428571,0.171428571428571,0.292857142857143,0.1,0.085,0.048,0.041,4.75647829284533,4.23488546256886,140,5,4.97142857142857,0.185714285714286,0.104238,2.0641975308642,0.257142857142857,0.385714285714286,0.492857142857143,0.542857142857143,0.36,0.27,0.138,0.076,0.0714285714285714,0.121428571428571,0.171428571428571,0.292857142857143,0.1,0.085,0.048,0.041,4.75647829284533,4.23488546256886,167.2025,171.596493750003,5.2025,1.03649375,5.25412420218655,0.043934508118916,0.289809632012724,0.000388263456986518,0.1121655995,3.67709131131461e-05,2.12680540298189,0.0159930740886738,0.182053253631916,0.000187051914750554,0.255328956855096,0.000550996141936086,0.358226714123007,0.00130711826875199,0.441615019732461,0.00223564903002704,0.303750000000001,0.000664437499999504,0.2129375,0.000409308593749901,0.119465,0.000143883775000063,0.0738800000000001,0.000107020599999995,0.0720137103693402,0.000510432794418817,0.112367915613914,0.000866368778208657,0.240847830030412,0.00310907752565288,0.331480678724339,0.00320582385493452,0.12025,0.00148243749999991,0.0937749999999999,0.000621874375000076,0.0810449999999999,0.000497817975000022,0.0556675,0.00014194194375,4.95891316511976,0.00104267846223394,4.56369740145332,0.0171323303906448,spam,
76,5,4.93421052631579,0.342105263157895,0.0591856,1.81124497991968,0.105263157894737,0.144736842105263,0.394736842105263,0.460526315789474,0.08,0.055,0.06,0.035,0.0394736842105263,0.223684210526316,0.276315789473684,0.315789473684211,0.03,0.085,0.042,0.024,4.00432577188095,3.22358676374166,76,5,4.93421052631579,0.342105263157895,0.0591856,1.81124497991968,0.105263157894737,0.144736842105263,0.394736842105263,0.460526315789474,0.08,0.055,0.06,0.035,0.0394736842105263,0.223684210526316,0.276315789473684,0.315789473684211,0.03,0.085,0.042,0.024,4.00432577188095,3.22358676374166,475.26,2485303.4324,5.15,1.00249999999999,5.21210161547053,0.0879359258537917,0.288216960982571,0.0165751428479286,0.138939182,0.012186302986874,2.28539357795935,0.317212347925324,0.0793851763324927,0.000750734715288412,0.112753556967027,0.00112018606590398,0.24912687183091,0.00452464741362108,0.348884778053094,0.00747710360740732,0.2211,0.20030079,0.1707375,0.14671626859375,0.15177,0.1215862071,0.114475,0.0844704043749999,0.07289421269082,0.00144307102481916,0.157883662788854,0.00290032075037951,0.218725828703337,0.00437253487086373,0.281597132754779,0.00488961498980368,0.230825,0.389558569375001,0.2194,0.21626239,0.1347,0.11071593,0.0961249999999999,0.0681116843750001,4.93692188866459,0.51356499217901,3.70069235082422,0.0717626837916541,spam,
21,3,4.33333333333333,0.0476190476190476,0.292605,0.949152542372881,0.0952380952380952,0.0952380952380952,0.333333333333333,0.428571428571429,0.02,0.01,0.014,0.009,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0,0.005,0.002,0.003,2.94443897916644,2.94443897916644,210,15,5.2,0.214285714285714,0.084579,2.47528517110266,0.157142857142857,0.161904761904762,0.238095238095238,0.295238095238095,0.33,0.17,0.1,0.062,0.0666666666666667,0.128571428571429,0.219047619047619,0.261904761904762,0.14,0.135,0.092,0.055,4.87426399733973,3.79173977356052,115.5,8930.25,9,36,4.76666666666667,0.187777777777775,0.130952380952381,0.00694444444444442,0.188592,0.010818704169,1.71221885673777,0.582270200118416,0.126190476190476,0.00095804988662131,0.128571428571429,0.00111111111111111,0.285714285714285,0.00226757369614512,0.361904761904762,0.0044444444444445,0.175,0.024025,0.09,0.0064,0.057,0.001849,0.0355,0.00070225,0.0333333333333333,0.00111111111111111,0.0880952380952383,0.00163832199546487,0.133333333333333,0.0073469387755102,0.202380952380952,0.00354308390022674,0.07,0.0049,0.07,0.004225,0.047,0.002025,0.029,0.000676,3.90935148825309,0.931056150191884,3.36808937636348,0.17947965904521,spam,
360,1,5.38888888888889,0.986111111111111,0.25476,4.80167014613779,0.313888888888889,0.333333333333333,0.613888888888889,0.663888888888889,1.13,0.6,0.442,0.239,0.0722222222222222,0.075,0.369444444444444,0.386111111111111,0.26,0.135,0.266,0.139,5.80162478705389,5.554688666368,360,1,5.38888888888889,0.986111111111111,0.25476,4.80167014613779,0.313888888888889,0.333333333333333,0.613888888888889,0.663888888888889,1.13,0.6,0.442,0.239,0.0722222222222222,0.075,0.369444444444444,0.386111111111111,0.26,0.135,0.266,0.139,5.80162478705389,5.554688666368,258.147869674185,15724.7375330557,10.7443609022556,5.36823261160418,5.26889315114448,0.0991346363059726,0.459546957360631,0.0145752210483409,0.143881070175439,0.00138887016515294,2.76109859133672,0.356919420748052,0.218519729626322,0.0033163732453312,0.273857575966254,0.00293302355194101,0.363786029993042,0.00500610475952235,0.505394180413696,0.00820782760318239,0.584661654135338,0.143672003316564,0.355827067669173,0.0386615966608252,0.18889724310777,0.0103239368094421,0.134197994987469,0.00583844450725803,0.203023431127773,0.00417062276880957,0.220833388502036,0.00428649864027224,0.346714502227344,0.00824339193572661,0.432499553468171,0.00836098392326454,0.51218045112782,0.063101761923606,0.278984962406015,0.017941638871615,0.177273182957393,0.00794007324074605,0.110493734335839,0.00269708204094196,5.03814946528222,0.11474497078974,4.1883972064652,0.0867842799642453,spam,
470,11,4.91702127659574,0.165957446808511,0.0419976,2.46106194690265,0.176595744680851,0.21063829787234,0.323404255319149,0.4,0.83,0.495,0.304,0.188,0.185106382978723,0.223404255319149,0.35531914893617,0.442553191489362,0.87,0.525,0.334,0.208,6.08475274079482,5.85855038728569,536,10,4.55970149253731,0.100746268656716,0.0593362,2.31007751937985,0.136194029850746,0.171641791044776,0.253731343283582,0.337686567164179,0.73,0.46,0.272,0.181,0.110074626865672,0.164179104477612,0.238805970149254,0.30410447761194,0.59,0.44,0.256,0.163,6.14760264691146,5.701259811394,536.192,140997.067136,10.1386666666667,6.61010488888887,4.64180952410555,0.0570234739888171,0.177820320324116,0.0132305419863999,0.0529757317333333,0.000867942047189369,2.45096341058542,0.0446077882446136,0.131970193525583,0.00124130641964593,0.173124251628544,0.0016303426737818,0.271389416163711,0.00304528175293532,0.350288761459903,0.00294531967584775,0.619653333333333,0.0607521464888895,0.41324,0.0279497024000003,0.262778666666667,0.0126813990115555,0.173293333333333,0.00680260195555559,0.140245408584933,0.00132955889656462,0.185935151534248,0.00143861523581194,0.277400526544552,0.00319625628658522,0.352414664324192,0.00433185774497846,0.643813333333333,0.0323441251555562,0.447973333333333,0.0335592259555553,0.266848,0.0120231422293332,0.171402666666667,0.00549221919288889,5.96727694029978,0.19393215323025,5.4756837205508,0.211445978963457,spam,
354,0,5.72033898305085,0.0169491525423729,0.172194,2.00929054054054,0.0903954802259887,0.104519774011299,0.132768361581921,0.152542372881356,0.32,0.185,0.094,0.054,0.0225988700564972,0.0423728813559322,0.0536723163841808,0.0903954802259887,0.08,0.075,0.038,0.032,5.70609772547082,5.13913910540038,354,0,5.72033898305085,0.0169491525423729,0.172194,2.00929054054054,0.0903954802259887,0.104519774011299,0.132768361581921,0.152542372881356,0.32,0.185,0.094,0.054,0.0225988700564972,0.0423728813559322,0.0536723163841808,0.0903954802259887,0.08,0.075,0.038,0.032,5.70609772547082,5.13913910540038,555.74,116353.3474,0,0,5.74094994102036,0.490688652290707,0.00551981772204209,1.51013186980859e-05,0.23953978175,0.00743137417142928,2.20803637258769,0.297359074249183,0.0739449165346388,0.000977870412685513,0.0991046427375394,0.00163058616166241,0.136517389464012,0.0028091332016538,0.180489495070948,0.00460499652318353,0.376075,0.0861308443750002,0.25895,0.0461566474999999,0.148295,0.015998582975,0.0967475,0.00661238874375003,0.0298249943046153,0.00044741395196311,0.0565923783846179,0.00103924076969243,0.0857614920019818,0.00182632468960039,0.131995151212779,0.00326994476849235,0.150325,0.031504644375,0.1440625,0.0217105585937499,0.09075,0.0081084175,0.068645,0.003737458975,5.76085414277908,0.648067596540308,4.92111356581325,0.844377575457269,spam,
803,0,5.02241594022416,0.646326276463263,0.127276,2.75398633257403,0.0784557907845579,0.105853051058531,0.184308841843088,0.281444582814446,0.63,0.425,0.296,0.226,0.0112079701120797,0.0560398505603985,0.0821917808219178,0.150684931506849,0.09,0.225,0.132,0.121,6.35568675609828,5.31911944216463,185,3,5.01081081081081,0,0.567667,2.22845691382766,0.102702702702703,0.162162162162162,0.216216216216216,0.286486486486487,0.19,0.15,0.08,0.053,0.0108108108108108,0.0540540540540541,0.108108108108108,0.12972972972973,0.02,0.05,0.04,0.024,5.12801380366803,4.92612446609199,1680.65546218487,1341618.07457101,0.34453781512605,1.2006214250406,5.07138236046668,0.112042012489354,0.586780169720364,0.043787792549514,0.203070505882353,0.00619565986104861,3.05163739557142,1.1571319230541,0.0651412301905791,0.00114381141250584,0.097292483677725,0.00167428306475835,0.17485300864073,0.00290300440786482,0.244593620639812,0.00257886551792429,0.821512605042017,0.185105275051197,0.658655462184874,0.150659116587812,0.502168067226891,0.0924517364592896,0.375361344537815,0.0574889030435704,0.0266513363749954,0.000121307631244619,0.0541039642532618,0.000396992810363902,0.0892166222017151,0.000566666080920247,0.160185457931077,0.000867380476339281,0.44781512605042,0.127991864981286,0.406764705882353,0.0783057093425604,0.280268907563025,0.036287793234941,0.255865546218487,0.028909746628063,6.71658416059516,0.740106595021238,5.34623944823582,2.34044945312323,spam,
285,11,5.83157894736842,1.16140350877193,0.183951,3.19180327868852,0.0736842105263158,0.256140350877193,0.382456140350877,0.596491228070175,0.21,0.365,0.218,0.17,0.0771929824561404,0.189473684210526,0.280701754385965,0.519298245614035,0.22,0.27,0.16,0.148,5.30546187962487,4.34851771402203,169,2,4.79881656804734,0.130177514792899,0.265553,1.96,0.106508875739645,0.153846153846154,0.218934911242604,0.254437869822485,0.18,0.13,0.074,0.043,0.0828402366863905,0.100591715976331,0.136094674556213,0.165680473372781,0.14,0.085,0.046,0.028,5.06505360696476,4.91093295082749,357.662436548223,4842.69061944395,17.2969543147208,10.5437978304003,4.97024426633031,0.0750351762278747,0.0781267260125748,0.00435198329520154,0.13264936319797,0.000385772411551979,2.52422703300132,0.0323950801580022,0.145897632686534,0.000966656427329141,0.241745235292218,0.00195424518199609,0.350749065316226,0.00329354428040034,0.461496546095944,0.00434307817471843,0.51746192893401,0.0176138627637918,0.430583756345177,0.0108000399391897,0.249532994923858,0.00319233012960907,0.164634517766497,0.0013911050014172,0.0819825497747801,0.000784936121162474,0.171740667642003,0.00138420419359388,0.229893847112556,0.00352933872479797,0.332803109833811,0.00309585482669737,0.293197969543147,0.012453732381664,0.308362944162436,0.00761286573346398,0.164055837563452,0.00240203749130355,0.118347715736041,0.000729658281584165,5.68671469895712,0.0747738801778794,5.24420092519361,0.0932690715966267,spam,
1265,2,4.7098814229249,0.00237154150197628,0.314323,4.68417639429313,0.215810276679842,0.23399209486166,0.279841897233202,0.305138339920949,2.73,1.48,0.708,0.386,0.0284584980237154,0.0458498023715415,0.0766798418972332,0.139920948616601,0.36,0.29,0.194,0.177,6.95838479854206,6.43017242491398,23,0,4.65217391304348,0,0.618497,0.99236641221374,0.173913043478261,0.260869565217391,0.347826086956522,0.434782608695652,0.04,0.03,0.016,0.01,0.0869565217391304,0.130434782608696,0.173913043478261,0.217391304347826,0.02,0.015,0.008,0.005,3.04452243772342,3.04452243772342,340.5375,215021.69359375,5.44,7.40139999999999,5.25931476717626,0.192054686777862,0.0625850240918685,0.00107123203421387,0.289232305,0.00431151856365718,2.20773290629884,1.3033152892655,0.183961100801662,0.00689719350509642,0.209813286917692,0.00937293482121028,0.395152843674455,0.00471841915513119,0.433263684219765,0.00432716200047828,0.773374999999996,1.105321859375,0.438687499999998,0.338352714843749,0.265329999999999,0.113021491100001,0.150677499999999,0.0373617734937498,0.0578242567144915,0.00259464504816772,0.113958819843788,0.00953028016787491,0.140663637760805,0.0131762344256299,0.233326790141512,0.028417467335882,0.267125,0.122165484375,0.2574,0.0877292400000002,0.130505,0.024363974975,0.110605,0.019949083975,4.25268492314496,2.64535998071403,3.58720704027905,1.41966228420481,spam,
